time_iso8601,stars_cumulative
2020-11-20 00:00:00+00:00,2239
2020-11-21 00:00:00+00:00,2240
2020-11-23 00:00:00+00:00,2242
2020-11-25 00:00:00+00:00,2243
2020-11-26 00:00:00+00:00,2248
2020-11-27 00:00:00+00:00,2250
2020-11-30 00:00:00+00:00,2253
2020-12-02 00:00:00+00:00,2256
2020-12-03 00:00:00+00:00,2257
2020-12-04 00:00:00+00:00,2261
2020-12-05 00:00:00+00:00,2262
2020-12-06 00:00:00+00:00,2264
2020-12-07 00:00:00+00:00,2265
2020-12-08 00:00:00+00:00,2266
2020-12-09 00:00:00+00:00,2269
2020-12-10 00:00:00+00:00,2271
2020-12-12 00:00:00+00:00,2272
2020-12-13 00:00:00+00:00,2273
2020-12-14 00:00:00+00:00,2275
2020-12-15 00:00:00+00:00,2277
2020-12-17 00:00:00+00:00,2280
2020-12-21 00:00:00+00:00,2281
2020-12-22 00:00:00+00:00,2283
2020-12-24 00:00:00+00:00,2285
2020-12-27 00:00:00+00:00,2286
2020-12-28 00:00:00+00:00,2287
2020-12-30 00:00:00+00:00,2288
2020-12-31 00:00:00+00:00,2290
2021-01-01 00:00:00+00:00,2291
2021-01-04 00:00:00+00:00,2295
2021-01-08 00:00:00+00:00,2297
2021-01-09 00:00:00+00:00,2299
2021-01-11 00:00:00+00:00,2301
2021-01-13 00:00:00+00:00,2302
2021-01-14 00:00:00+00:00,2303
2021-01-15 00:00:00+00:00,2305
2021-01-16 00:00:00+00:00,2306
2021-01-17 00:00:00+00:00,2307
2021-01-18 00:00:00+00:00,2308
2021-01-19 00:00:00+00:00,2309
2021-01-20 00:00:00+00:00,2310
2021-01-21 00:00:00+00:00,2312
2021-01-23 00:00:00+00:00,2314
2021-01-24 00:00:00+00:00,2315
2021-01-25 00:00:00+00:00,2316
2021-01-26 00:00:00+00:00,2317
2021-01-27 00:00:00+00:00,2318
2021-01-28 00:00:00+00:00,2319
2021-01-29 00:00:00+00:00,2320
2021-02-01 00:00:00+00:00,2322
2021-02-02 00:00:00+00:00,2325
2021-02-04 00:00:00+00:00,2326
2021-02-05 00:00:00+00:00,2327
2021-02-06 00:00:00+00:00,2328
2021-02-09 00:00:00+00:00,2329
2021-02-11 00:00:00+00:00,2330
2021-02-12 00:00:00+00:00,2331
2021-02-19 00:00:00+00:00,2333
2021-02-22 00:00:00+00:00,2336
2021-02-23 00:00:00+00:00,2338
2021-02-24 00:00:00+00:00,2339
2021-02-25 00:00:00+00:00,2343
2021-02-26 00:00:00+00:00,2345
2021-02-27 00:00:00+00:00,2346
2021-03-01 00:00:00+00:00,2350
2021-03-02 00:00:00+00:00,2352
2021-03-03 00:00:00+00:00,2480
2021-03-04 00:00:00+00:00,2559
2021-03-05 00:00:00+00:00,2579
2021-03-06 00:00:00+00:00,2587
2021-03-07 00:00:00+00:00,2593
2021-03-08 00:00:00+00:00,2602
2021-03-09 00:00:00+00:00,2610
2021-03-10 00:00:00+00:00,2618
2021-03-11 00:00:00+00:00,2620
2021-03-12 00:00:00+00:00,2623
2021-03-13 00:00:00+00:00,2625
2021-03-15 00:00:00+00:00,2629
2021-03-16 00:00:00+00:00,2634
2021-03-17 00:00:00+00:00,2639
2021-03-18 00:00:00+00:00,2645
2021-03-19 00:00:00+00:00,2646
2021-03-21 00:00:00+00:00,2647
2021-03-22 00:00:00+00:00,2650
2021-03-23 00:00:00+00:00,2654
2021-03-24 00:00:00+00:00,2656
2021-03-25 00:00:00+00:00,2658
2021-03-26 00:00:00+00:00,2659
2021-03-28 00:00:00+00:00,2660
2021-03-29 00:00:00+00:00,2661
2021-03-30 00:00:00+00:00,2664
2021-03-31 00:00:00+00:00,2723
2021-04-01 00:00:00+00:00,2758
2021-04-02 00:00:00+00:00,2768
2021-04-03 00:00:00+00:00,2770
2021-04-04 00:00:00+00:00,2775
2021-04-05 00:00:00+00:00,2777
2021-04-06 00:00:00+00:00,2793
2021-04-07 00:00:00+00:00,2803
2021-04-08 00:00:00+00:00,2822
2021-04-09 00:00:00+00:00,2828
2021-04-10 00:00:00+00:00,2831
2021-04-11 00:00:00+00:00,2840
